삼성전자,SK하이닉스,NAVER,씨젠,우리들휴브레인,현대차,DGB금융지주,미스터블루,셀트리온,데일리블록체인,소리바다,한화솔루션,아모레퍼시픽,CJ대한통운,GS건설
443165.5924526001,74246.89002241558,50790.98380966648,26853.809135829677,1775.4462469985197,144553.3202844358,7626.17321667765,5641.931398376615,127076.47752475402,569.6472311862688,1037.8741077787497,21599.04090676478,175801.98675966726,133906.92674144544,29157.899951045987
448376.7348308189,74283.94695310306,50942.63821322017,26901.493576280765,1769.525979700225,144714.85083500855,7626.186192550923,5659.394437323241,126710.59892644965,566.1982278910797,1040.475011869115,21616.23825733611,175481.23579224866,133724.89042563067,29074.25347745917
464121.49711139867,74396.30700062774,51444.65756298847,27045.66769588032,1751.683050051335,145201.85178267487,7626.381063983283,5711.826788014729,125619.97235304216,555.9123319511898,1048.4528016674217,21668.402840291918,174518.9732886765,133175.9597651857,28822.7046327204
469406.41511513904,74434.15314227564,51627.66080226108,27094.096705966334,1745.7084132886498,145364.97783600338,7626.497792635086,5729.316728859445,125258.7875103018,552.5042773885689,1051.1702743056005,21685.98005251027,174198.26647713446,132992.05289464066,28738.657311407474
474709.4403914197,74472.19385171837,51818.48432820907,27142.709875792203,1739.7204726332636,145528.49472148562,7626.640301267351,5746.811953328062,124898.7916877569,549.1066140212672,1053.9167744036856,21703.650855072017,173877.60873909667,132807.68636379731,28654.51385982249
480030.437672669,74510.42802272705,52017.120988946066,27191.50640372916,1733.7193448182559,145692.39920384614,7626.808525887548,5764.311883670825,124539.99101801614,545.7194029990419,1056.692254237238,21721.414693451577,173557.01538042698,132622.8633941168,28570.27591489393
485369.27139243,74548.85454302827,52223.56344171462,27240.485483916094,1727.7051472382318,145856.68803907177,7627.002402155342,5781.815941690908,124182.39158354295,542.3427052412333,1059.4966651598968,21739.27101091148,173236.5017516947,132437.5872219129,28485.945115597096
501491.4311349866,74665.27698725622,52889.64926760608,27388.509916422958,1709.5853196581309,146351.82809307898,7627.737292287935,5834.3470938325145,123116.86076201008,532.2762972551973,1068.0829842312294,21793.38923771484,172275.59340645128,131879.07207377968,28232.412010851935
506900.2491327926,74704.46166272409,53127.23765405384,27438.211063270333,1703.5200299947821,146517.62172880385,7628.033124894272,5851.8618728054635,122764.12608676015,528.9422570805167,1071.0026147103222,21811.609860697707,171955.5530720801,131692.01574777812,28147.726222956622
512326.22141938354,74743.83303707272,53372.592266670195,27488.09067050817,1697.4422672609091,146683.78337019903,7628.3542823378675,5869.37788291893,122412.62230338602,525.6190312517857,1073.950919320082,21829.920146700875,171635.66986564687,131504.52261967937,28062.955804472982
517769.2107342985,74783.38996274029,53625.70462432923,27538.147907446935,1691.3521526984937,146850.30972319233,7628.70069825702,5886.894543985743,122062.35519139265,522.3066792709647,1076.9278439442157,21848.31952619459,171315.95939056552,131316.59601253126,27978.102405585127
523229.07955123344,74823.13128644477,53886.566057487966,27588.3819393554,1685.2498081700035,147017.19748576346,7629.072305964059,5904.411275602251,121713.330479469,519.005260398096,1079.9333335652761,21866.807427595715,170996.4372897963,131128.23926343193,27893.167678170932
539708.5838623064,74943.45002820481,54715.555295024074,27740.136397558643,1666.870622597365,147519.99609389075,7630.337608114415,5956.956087158493,120673.7672668817,509.16719136553434,1089.1206287835814,21922.796517091654,170039.15824028561,130560.62174372884,27637.89206785459
545234.5902722519,74983.91729855826,55007.32257830666,27791.069182189767,1660.7205890330029,147688.2963195726,7630.8093096893135,5974.467293760627,120329.76842271145,505.910092631328,1092.2398103038836,21941.632750021647,169720.54683090793,130370.57807474028,27552.648577174194
550776.7847299579,75024.56311644224,55306.79277555959,27842.174528497384,1654.5589439150228,147856.9413294792,7631.3058648357655,5991.975666799305,119987.03985676961,502.66421962146455,1095.3872683259617,21960.55461693985,169402.20257750654,130180.1211559612,27467.33204096492
556335.028213103,75065.38629527003,55613.956094510744,27893.451578092026,1648.3858127039123,148025.92777628428,7631.827204976696,6009.4806252626595,119645.58699106488,499.429630111616,1098.5629424915473,21979.561534420965,169084.14134454646,129989.25440632856,27381.94412019456
